Unnamed: 0,pth,label,relFCs,faceDetected,numFaces
1,anger/image0000060.jpg,anger,0.852310783018639,True,1
4,anger/image0000106.jpg,anger,0.8491084661862777,True,1
5,anger/image0000132.jpg,anger,0.8194483454798387,True,1
6,anger/image0000138.jpg,anger,0.8520518574751808,True,1
8,anger/image0000195.jpg,anger,0.8231325554226703,True,1
10,anger/image0000228.jpg,anger,0.8122761639871947,True,1
11,anger/image0000294.jpg,anger,0.8391113879323415,True,1
12,anger/image0000333.jpg,anger,0.7536217387529814,True,1
15,anger/image0000356.jpg,sad,0.8218456022564528,False,0
18,anger/image0000390.jpg,anger,0.8023954750702706,True,1
21,anger/image0000415.jpg,anger,0.7360272419661058,True,1
23,anger/image0000441.jpg,sad,0.7928996288166676,True,1
24,anger/image0000450.jpg,anger,0.7732496988962118,True,1
26,anger/image0000511.jpg,anger,0.7896748553681358,True,1
27,anger/image0000513.jpg,anger,0.7908538607156258,True,1
28,anger/image0000593.jpg,anger,0.7958770100788126,True,1
30,anger/image0000690.jpg,sad,0.8537979787692912,True,1
33,anger/image0000723.jpg,anger,0.7499107651584357,True,1
35,anger/image0000776.jpg,anger,0.7191419677617045,True,1
38,anger/image0000932.jpg,anger,0.8476730489701948,False,0
39,anger/image0000949.jpg,anger,0.7985818555028823,True,1
41,anger/image0000965.jpg,anger,0.8771937422265705,True,1
42,anger/image0000972.jpg,anger,0.7781220459279947,True,1
45,anger/image0001021.jpg,anger,0.8248463847646784,True,1
46,anger/image0001061.jpg,anger,0.809063702840611,True,1
47,anger/image0001062.jpg,anger,0.8256761193251171,True,1
49,anger/image0001066.jpg,anger,0.8994690885656528,True,1
51,anger/image0001113.jpg,anger,0.8733009856946506,True,1
54,anger/image0001161.jpg,anger,0.8317483787895507,True,1
55,anger/image0001241.jpg,anger,0.8514328973856861,True,1
56,anger/image0001244.jpg,anger,0.8045184782593185,True,1
60,anger/image0001305.jpg,anger,0.8852957701257068,True,1
61,anger/image0001314.jpg,anger,0.8825045191840863,True,1
66,anger/image0001453.jpg,neutral,0.8156830508716799,True,1
67,anger/image0001470.jpg,anger,0.7961243218737241,True,1
68,anger/image0001516.jpg,anger,0.8648002745998637,True,1
70,anger/image0001524.jpg,anger,0.8059280050378269,True,1
72,anger/image0001529.jpg,anger,0.6811618720024811,True,1
73,anger/image0001538.jpg,anger,0.8225432163253064,True,1
74,anger/image0001555.jpg,anger,0.8623529209581536,True,1
75,anger/image0001568.jpg,anger,0.8664671724353874,True,1
78,anger/image0001623.jpg,anger,0.8974110955416487,False,0
79,anger/image0001671.jpg,anger,0.7422899022500561,True,1
80,anger/image0001688.jpg,anger,0.7792931008168881,True,1
